,Title,Published_date,Views,Likes,Favourite,Comments,Month
259,"Text Representation | NLP Lecture 4 | Bag of Words | Tf-Idf | N-grams, Bi-grams and Uni-grams",2021-12-16,53493,1557,0,107,Dec
260,Text Preprocessing | NLP Course Lecture 3,2021-12-10,66786,1604,0,114,Dec
261,Top 10 Doubts of Data Science Job Aspirants in India,2021-12-06,2664,198,0,23,Dec
262,End to End NLP Pipeline | NLP Pipeline | Lecture 2 NLP Course,2021-12-02,60790,2534,0,129,Dec
263,Top 11 NLP Projects for Portfolio | Best NLP Projects,2021-11-29,60979,1878,0,69,Nov
264,Introduction to NLP | NLP Lecture 1 | End to End NLP Course,2021-11-25,118722,3718,0,173,Nov
265,Complete NLP Roadmap | How to become a NLP Engineer,2021-11-22,24684,1138,0,66,Nov
266,NLP Course Announcement,2021-11-18,3416,436,0,93,Nov
267,Agglomerative Hierarchical Clustering | Python Code Example,2021-11-07,24401,806,0,92,Nov
268,My Favorite Blogs For Data Science | Top 10 Blogs For Data Science,2021-11-05,5676,387,0,18,Nov
269,How To Get Your First Job In Data Science | Why You Are Not Getting A Job In Data Science,2021-11-01,34838,2161,0,95,Nov
270,How To Upload Dataset On Kaggle,2021-10-30,12867,385,0,21,Oct
271,Everything You Need To Know About Kaggle | Kaggle For Beginners,2021-10-28,31416,1294,0,56,Oct
272,Complete SQL Course For Data Science | SQL For Data Science in 6 Hrs,2021-10-26,208782,5343,0,277,Oct
273,Complete SQL Roadmap For Data Science | Free Course and Interview Questions For SQL,2021-10-24,71760,2750,0,107,Oct
274,How To Learn Python For Data Science In 14 Days | Complete Roadmap With  Learning Resources,2021-10-22,36397,1256,0,57,Oct
275,What is Benford's Law | Benford's Law in Data Science,2021-10-20,4783,264,0,24,Oct
276,T20 World Cup Cricket Score Predictor | Machine Learning Project,2021-10-18,25979,466,0,68,Oct
277,T20 World Cup Cricket Score Prediction | Project Demo | Machine Learning Project,2021-10-16,1456,49,0,11,Oct
278,IPL Win Probability Predictor Project | End to End Machine Learning Project,2021-10-14,57384,1307,0,142,Oct
279,IPL Win Probability Predictor Project Demo,2021-10-12,2182,98,0,28,Oct
280,How To Build A Kickass Data Science Portfolio | Portfolio For Data Science,2021-10-10,27234,1331,0,40,Oct
281,Find Similar Game of Thrones Character using Machine Learning | Visualizing High Dimensional Data,2021-10-08,6903,164,0,23,Oct
282,Top 5 Mistakes While Learning Data Science | How Not To Learn Data Science | Practical Tips,2021-10-04,15594,1227,0,104,Oct
283,How Many Subscribers Will I Have By 2025 | Introduction to Time Series Forecasting using Prophet,2021-10-02,10179,551,0,85,Oct
284,Stacking and Blending Ensembles,2021-09-30,14461,537,0,46,Sep
285,My Favorite Data Science Books | Free and Paid Resources,2021-09-28,19322,871,0,46,Sep
286,8 Projects To Get A Data Science Job | Projects for Data Science Portfolio,2021-09-26,109920,4930,0,114,Sep
287,How To Select A Project In Data Science? | 5 Tips To Select Projects In Data Science,2021-09-24,7011,459,0,26,Sep
288,How to become a Rockstar Data Scientist? | 4 Actionable Points,2021-09-22,20165,1358,0,72,Sep
289,Gradient Boosting Regression Part 2 | Mathematics of Gradient Boosting,2021-09-20,17383,536,0,36,Sep
290,Machine Learning Android App | How to convert ML model to an Android App,2021-09-17,73383,1781,0,135,Sep
291,Which Bollywood Celebrity Are You? | End to End Deep Learning Project,2021-09-15,16617,336,0,37,Sep
292,Introduction to Face Detection using MTCNN,2021-09-12,11610,269,0,25,Sep
293,Gradient Boosting Explained | How Gradient Boosting Works?,2021-09-09,37757,1187,0,82,Sep
294,Which Bollywood Celebrity Are You? Project Teaser,2021-09-02,557,52,0,16,Sep
295,Fashion Recommender System | Clothes Recommendation | Ecommerce Project,2021-09-01,83456,1752,0,129,Sep
296,Fashion Recommendation System | Project Teaser,2021-08-31,1987,52,0,20,Aug
297,How To Deploy A Machine Learning Model On AWS EC2 | AUG 2021 Updated | ML Model To Flask Website,2021-08-28,66541,2033,0,106,Aug
298,K-Means Clustering Algorithm in Python | Practical Example | Student Clustering Example | sklearn,2021-08-26,33598,1000,0,27,Aug
299,K-Means Clustering Algorithm From Scratch In Python | ML Algorithms From Scratch,2021-08-25,23010,643,0,21,Aug
300,K-Means Clustering Algorithm | Geometric Intuition | Clustering | Unsupervised Learning,2021-08-24,52490,1596,0,68,Aug
301,How to train a ML model on a dataset with 3 crore rows?,2021-08-20,13621,607,0,23,Aug
302,What is Out-of-core Machine Learning?,2021-08-20,2523,163,0,9,Aug
303,Bagging Vs Boosting | What is the difference between Bagging and Boosting,2021-08-18,22162,720,0,26,Aug
304,AdaBoost Hyperparameters | GridSearchCV in Adaboost,2021-08-17,11583,339,0,15,Aug
305,AdaBoost Algorithm | Code from Scratch,2021-08-16,15595,416,0,28,Aug
306,Laptop Price Predictor | Machine Learning Project,2021-08-12,101187,2307,0,284,Aug
307,Laptop Price Prediction | Project Teaser,2021-08-11,1279,26,0,8,Aug
308,AdaBoost - A Step by Step Explanation,2021-08-10,24220,783,0,27,Aug
309,How Adaboost Classifier Works? | Geometric Intuition,2021-08-09,24554,670,0,15,Aug
310,Posture detection using PoseNet | Machine Learning in Javascript | ml5js PoseNet | Deep Learning,2021-08-05,25235,502,0,34,Aug
311,PoseNet Project Teaser | Detecting Pose using Deep Learning 😄😄😄 | Check Description for full project,2021-08-04,1111,68,0,16,Aug
312,Build a Chatbot in 1 hour | Python Chatbot Telegram | DialogFlow Tutorial | Chatbot Tutorial,2021-08-03,53515,1497,0,74,Aug
313,How To Build A Chatbot | Project Teaser Full Video Coming Soon,2021-08-02,633,24,0,6,Aug
314,Learn to build Funny Chatbot | Subscribe,2021-08-02,10004,422,0,24,Aug
315,Feature Importance using Random Forest and Decision Trees | How is Feature Importance calculated,2021-07-30,22813,646,0,24,Jul
316,Software Engineering Vs Data Science | Salary Comparison | Which one should you choose?,2021-07-29,12763,347,0,33,Jul
317,OOB Score | Out of Bag Evaluation in Random Forest | Machine Learning,2021-07-28,12260,390,0,9,Jul
318,Olympics Data Analysis | Data Analysis Project | Machine Learning with Deployment,2021-07-27,64294,1289,0,149,Jul
319,Project Teaser | Olympics Analysis Web Application | Video Dropping on 27th July 2021,2021-07-27,498,21,0,3,Jul
320,Hyperparameter Tuning Random Forest using GridSearchCV and RandomizedSearchCV | Code Example,2021-07-26,22607,594,0,23,Jul
321,Random Forest Hyper-parameters,2021-07-23,17829,498,0,20,Jul
322,Bagging Vs Random Forest | What is the difference between Bagging and Random Forest | Very Important,2021-07-22,15826,545,0,25,Jul
323,How Random Forest Performs So Well? Bias Variance Trade-Off in Random Forest,2021-07-20,15115,456,0,16,Jul
324,Introduction to Random Forest | Intuition behind the Algorithm,2021-07-19,31509,776,0,31,Jul
325,WhatsApp Chat Analysis Project | End to End Project with Heroku Deployment,2021-07-14,119913,2264,0,358,Jul
326,WhatsApp Chat Analysis Project Teaser | Video coming soon,2021-07-14,1647,27,0,5,Jul
327,Introduction to Ensemble Learning | Ensemble Techniques in Machine Learning,2021-07-12,42766,1331,0,49,Jul
328,String Functions in Python | Part 5,2021-07-12,13721,353,0,19,Jul
329,String Operations in Python | Part 4,2021-07-12,10695,219,0,6,Jul
330,Editing and Deleting Strings in Python | Part 3,2021-07-12,9934,224,0,4,Jul
331,Accessing Substrings from a String | Indexing and Slicing in Python Strings | Part 2,2021-07-12,12266,262,0,4,Jul
332,Strings in Python | Part 1,2021-07-12,13455,292,0,9,Jul
333,Email Spam Classifier | SMS Spam Classifier | End to End Project | Heroku Deployment,2021-07-10,210190,3878,0,394,Jul
334,Email Spam Classifier End to End Project Teaser | Full Video coming soon,2021-07-10,338,13,0,2,Jul
335,Movie Recommender System Project | Content Based Recommender System with Heroku Deployment,2021-07-07,762516,13860,0,1002,Jul
336,Built-in Modules in Python | How to use Modules in Python,2021-07-06,18041,407,0,14,Jul
337,Movie Recommender System Project -Teaser,2021-07-06,785,48,0,9,Jul
338,Regression Trees | Decision Trees Part 3,2021-07-05,17579,501,0,16,Jul
339,Built-in Functions in Python,2021-07-05,23350,537,0,12,Jul
340,Decision Trees - Hyperparameters | Overfitting and Underfitting in Decision Trees,2021-07-03,26057,1079,0,38,Jul
341,Decision Trees Geometric Intuition | Entropy | Gini impurity | Information Gain,2021-07-02,53622,1216,0,38,Jul
342,Logistic Regression Hyperparameters || Logistic Regression Part 8,2021-06-30,15876,412,0,13,Jun
343,Polynomial Features in Logistic Regression | Non Linear Logistic Regression | Logistic Regression 7,2021-06-29,11290,401,0,14,Jun
344,"Break, Continue and Pass Statements in Python",2021-06-29,12575,313,0,8,Jun
345,How to view Sklearn Library Source Code | Machine Learning Tips and Tricks,2021-06-29,1767,48,0,3,Jun
346,Softmax Regression || Multinomial Logistic Regression || Logistic Regression Part 6,2021-06-28,21739,608,0,24,Jun
347,Nested Loops in Python,2021-06-28,14637,310,0,20,Jun
348,For Loop In Python,2021-06-26,16489,355,0,13,Jun
349,Guessing Game in Python,2021-06-25,16270,365,0,13,Jun
350,"Precision, Recall and F1 Score | Classification Metrics Part 2",2021-06-24,29927,931,0,62,Jun
351,While Loop in Python | Day 8 | 100 Days of Python Programming,2021-06-24,16879,409,0,20,Jun
352,Accuracy and Confusion Matrix | Type 1 and Type 2 Errors | Classification Metrics Part 1,2021-06-23,34521,766,0,32,Jun
353,If-else Statements in Python | Nested If-else | Day 7 | 100 Days of Python Programming,2021-06-23,19105,393,0,15,Jun
354,Indentation in Python | Day 7 | 100 Days of Python Programming,2021-06-22,14469,300,0,13,Jun
355,Logistic Regression Part 5 | Gradient Descent & Code From Scratch,2021-06-21,24440,671,0,63,Jun
356,Operators in Python | 100 Days of Python Programming,2021-06-21,18098,373,0,16,Jun
357,Literals in Python | 100 Days of Python Programming,2021-06-19,23087,507,0,11,Jun
358,Derivative of Sigmoid Function,2021-06-19,13713,362,0,12,Jun
359,Logistic Regression Part 4 | Loss Function | Maximum Likelihood | Binary Cross Entropy,2021-06-18,27942,801,0,42,Jun
360,Type Conversion in Python,2021-06-18,18032,343,0,10,Jun
361,Logistic Regression Part 3 | Sigmoid Function,2021-06-17,32161,888,0,62,Jun
362,Taking user input in Python | The input function,2021-06-17,19802,367,0,11,Jun
363,Logistic Regression Part 2 | Perceptron Trick Code,2021-06-16,25683,638,0,28,Jun
364,Keywords and Identifiers in Python,2021-06-16,20405,418,0,15,Jun
365,Logistic Regression Part 1 | Perceptron Trick,2021-06-15,63754,1234,0,56,Jun
366,Variables in Python | Dynamic Typing | Dynamic Binding in Python,2021-06-15,23314,503,0,11,Jun
367,Comments in Python | 100 Days of Python Programming,2021-06-14,19342,308,0,10,Jun
368,ElasticNet Regression | Intuition and Code Example | Regularized Linear Models,2021-06-12,11177,378,0,19,Jun
369,Data Types in Python | 100 Days of Python Programming,2021-06-12,30963,546,0,20,Jun
370,Why Lasso Regression creates sparsity?,2021-06-11,13098,507,0,21,Jun
371,Print Function in Python | 100 Days of Python Programming,2021-06-11,104237,1221,0,52,Jun
372,Lasso Regression | Intuition and Code Sample | Regularized Linear Models,2021-06-10,20035,547,0,21,Jun
373,5 Key Points - Ridge Regression | Part 4 | Regularized Linear Models,2021-06-08,14899,502,0,35,Jun
374,Ridge Regression Part 3 | Gradient Descent | Regularized Linear Models,2021-06-04,15745,430,0,18,Jun
375,Ridge Regression Part 2 | Mathematical Formulation & Code from scratch | Regularized Linear Models,2021-06-03,23857,612,0,76,Jun
376,Ridge Regression Part 1 | Geometric Intuition and Code | Regularized Linear Models,2021-06-02,42620,854,0,39,Jun
377,Polynomial Regression | Machine Learning,2021-05-29,36204,902,0,30,May
378,Mini-Batch Gradient Descent,2021-05-26,13443,504,0,23,May
379,Stochastic Gradient Descent,2021-05-25,23549,735,0,34,May
380,Batch Gradient Descent,2021-05-22,31622,937,0,50,May
381,Gradient Descent From Scratch | End to End Gradient Descent | Gradient Descent Animation,2021-05-21,91923,3492,0,330,May
382,Multiple Linear Regression | Part 3 | Code From Scratch,2021-05-17,23252,597,0,28,May
383,Multiple Linear Regression | Part 2 | Mathematical Formulation From Scratch,2021-05-15,32304,1087,0,64,May
384,Multiple Linear Regression | Geometric Intuition & Code,2021-05-14,42067,1123,0,70,May
385,"Regression Metrics | MSE, MAE & RMSE | R2 Score & Adjusted R2 Score",2021-05-13,65022,1751,0,89,May
386,Simple Linear Regression | Mathematical Formulation | Coding from Scratch,2021-05-11,59190,1808,0,117,May
387,Simple Linear Regression | Code + Intuition,2021-05-10,89445,1883,0,97,May
388,Principle Component Analysis(PCA) | Part 3 | Code Example and Visualization,2021-05-08,28576,859,0,69,May
389,Principle Component Analysis (PCA) | Part 2 | Problem Formulation and Step by Step Solution,2021-05-07,43838,1234,0,125,May
390,Principle Component Analysis  (PCA) | Part 1 | Geometric Intuition,2021-05-06,54441,1241,0,77,May
391,Curse of Dimensionality,2021-05-05,28634,857,0,33,May
392,Feature Construction | Feature Splitting,2021-05-04,20085,565,0,13,May
393,Outlier Detection using the Percentile Method | Winsorization Technique,2021-05-03,19864,624,0,23,May
394,Outlier Detection and Removal using the IQR Method | Handing Outliers Part 3,2021-05-01,33186,831,0,28,May
395,Outlier Detection and Removal using Z-score Method | Handling Outliers Part 2,2021-04-30,32092,778,0,33,Apr
396,What are Outliers | Outliers in Machine Learning,2021-04-29,37502,901,0,26,Apr
397,Multivariate Imputation by Chained Equations for Missing Value | MICE Algorithm | Iterative Imputer,2021-04-28,21053,610,0,46,Apr
398,KNN Imputer | Multivariate Imputation | Handling Missing Data Part 5,2021-04-27,29232,737,0,51,Apr
399,Missing Indicator | Random Sample Imputation | Handling Missing Data Part 4,2021-04-26,25665,688,0,39,Apr
400,Handling Missing Categorical Data | Simple Imputer | Most Frequent Imputation | Missing Category Imp,2021-04-24,25658,619,0,30,Apr
401,Handling missing data | Numerical Data | Simple Imputer,2021-04-23,33550,895,0,55,Apr
402,Handling Missing Data | Part 1 | Complete Case Analysis,2021-04-22,38017,1082,0,37,Apr
403,Handling Date and Time Variables | Day 34 | 100 Days of Machine Learning,2021-04-21,23609,910,0,29,Apr
404,Handling Mixed Variables | Feature Engineering,2021-04-20,20956,674,0,25,Apr
405,Binning and Binarization | Discretization | Quantile Binning | KMeans Binning,2021-04-19,31775,855,0,33,Apr
406,Power Transformer | Box - Cox Transform | Yeo - Johnson Transform,2021-04-17,34037,1096,0,54,Apr
407,Function Transformer | Log Transform | Reciprocal Transform | Square Root Transform,2021-04-16,42545,1045,0,35,Apr
408,Machine Learning Pipelines A-Z | Day 29 | 100 Days of Machine Learning,2021-04-15,74554,2348,0,217,Apr
409,Column Transformer in Machine Learning | How to use ColumnTransformer in Sklearn,2021-04-14,55697,1533,0,88,Apr
410,One Hot Encoding | Handling Categorical Data | Day 27 | 100 Days of Machine Learning,2021-04-13,66644,1785,0,89,Apr
411,Encoding Categorical Data | Ordinal Encoding | Label Encoding,2021-04-12,58886,1491,0,79,Apr
412,Feature Scaling - Normalization | MinMaxScaling | MaxAbsScaling | RobustScaling,2021-04-10,52730,1575,0,53,Apr
413,Feature Scaling - Standardization | Day 24 | 100 Days of Machine Learning,2021-04-09,73590,2126,0,113,Apr
414,What is Feature Engineering | Day 23 | 100 Days of Machine Learning,2021-04-08,75573,1903,0,73,Apr
415,Pandas Profiling | Day 22 | 100 Days of Machine Learning,2021-04-07,36104,1298,0,101,Apr
416,EDA using Bivariate and Multivariate Analysis | Day 21 | 100 Days of Machine Learning,2021-04-06,53791,1568,0,86,Apr
417,EDA using Univariate Analysis | Day 20 | 100 Days of Machine Learning,2021-04-05,65686,1737,0,63,Apr
418,Understanding Your Data | Day 19 | 100 Days of Machine Learning,2021-04-03,44910,1257,0,45,Apr
419,Fetching data using Web Scraping | Day 18 | 100 Days of Machine Learning,2021-04-02,70248,2132,0,158,Apr
420,Fetching Data From an API | Day 17 | 100 Days of Machine Learning,2021-04-01,61734,2004,0,98,Apr
421,Working with JSON/SQL | Day 16 | 100 Days of Machine Learning,2021-03-31,37079,1134,0,38,Mar
422,Working with CSV files | Day 15 | 100 Days of Machine Learning,2021-03-30,53416,1771,0,76,Mar
423,Framing a Machine Learning Problem | How to plan a Data Science Project,2021-03-29,41625,1772,0,57,Mar
424,End to End Toy Project | Day 13 | 100 Days of Machine Learning,2021-03-27,62140,1854,0,92,Mar
425,Installing Anaconda For Data Science | Jupyter Notebook for Machine Learning | Google Colab for ML,2021-03-26,47248,1652,0,72,Mar
426,What are Tensors | Tensor In-depth Explanation | Tensor in Machine Learning,2021-03-25,65581,2365,0,116,Mar
427,Data Engineer V Data Analyst V Data Scientist V ML Engineer | Data Science Job Roles,2021-03-24,35797,1518,0,42,Mar
428,Machine Learning Development Life Cycle | MLDLC in Data Science,2021-03-23,45935,1817,0,57,Mar
429,Regression Tree Hyperparameter Tuning and Code Example,2021-03-23,3790,120,0,14,Mar
430,Application of Machine Learning | Real Life Machine Learning Applications,2021-03-22,37781,2077,0,69,Mar
431,Image Processing using OpenCV | Part 13 | Working with Videos using OpenCV,2021-03-21,5003,85,0,6,Mar
432,Image Processing using OpenCV | Part 12 | Building a Cropping Tool,2021-03-21,6268,63,0,2,Mar
433,Image Processing using OpenCV | Part 10 | Working with OpenCV Events,2021-03-21,5087,83,0,2,Mar
434,Image Processing using OpenCV | Part 11 | Working with OpenCV Events Part 2,2021-03-21,3967,48,0,5,Mar
435,Image Processing using OpenCV | Part 9 | Drawing Shapes and Text on Images,2021-03-21,5331,80,0,5,Mar
436,Challenges in Machine Learning | Problems in Machine Learning,2021-03-20,44839,1721,0,55,Mar
437,Decision Tree Hyperparameters In-depth Intuition | Decision Trees Part 8,2021-03-20,9107,408,0,24,Mar
438,Awesome Decision Tree Visualization using dtreeviz library,2021-03-19,13980,475,0,20,Mar
439,Instance-Based Vs Model-Based Learning | Types of Machine Learning,2021-03-19,50348,1654,0,54,Mar
440,Online Machine Learning | Online Learning | Online Vs Offline Machine Learning,2021-03-18,52478,1875,0,60,Mar
441,Gini Impurity in depth Intuition | Decision Trees | Part 4,2021-03-18,10021,260,0,7,Mar
442,Bagging Ensemble | Part 3 | Bagging Regressor,2021-03-17,11244,490,0,10,Mar
443,Batch Machine Learning | Offline Vs Online Learning | Machine Learning Types,2021-03-17,61216,1512,0,33,Mar
444,Types of Machine Learning for Beginners | Types of Machine learning in Hindi | Types of ML in Depth,2021-03-16,91630,2563,0,103,Mar
445,Bagging Ensemble | Part 2 | Bagging Classifiers,2021-03-16,15578,580,0,25,Mar
446,AI Vs ML Vs DL for Beginners in Hindi,2021-03-15,74179,2250,0,77,Mar
447,Image Processing using OpenCV | Part 8 | Saving an Image,2021-03-14,4662,53,0,2,Mar
448,Image Processing using OpenCV | Part 7 | Cropping an Image,2021-03-14,5253,56,0,4,Mar
449,Image Processing using OpenCV | Part 6 | Flipping an Image,2021-03-14,5592,84,0,3,Mar
450,Image Processing using OpenCV | Part 5 | Image Resizing,2021-03-14,7831,85,0,2,Mar
451,Image Processing using OpenCV | Part 4 | Playing with RGB Color Channels,2021-03-14,9501,103,0,2,Mar
452,Image Processing using OpenCV | Part 3 | Converting RGB image to Grayscale,2021-03-14,14093,108,0,2,Mar
453,Image Processing using OpenCV | Part 2 | Reading an Image,2021-03-14,12722,115,0,3,Mar
454,Image Processing using OpenCV | Part 1 | Image Basics,2021-03-14,30841,347,0,5,Mar
455,What is Machine Learning? | 100 Days of Machine Learning,2021-03-13,415951,4795,0,196,Mar
456,Bagging | Introduction | Part 1,2021-03-12,27125,798,0,22,Mar
457,Voting Ensemble | Regression | Part 3,2021-03-11,10215,417,0,15,Mar
458,Voting Ensemble | Classification | Voting Classifier | Hard Voting Vs Soft Voting | Part 2,2021-03-10,14873,566,0,17,Mar
459,Voting Ensemble |  Introduction and Core Idea | Part 1,2021-03-09,15699,591,0,27,Mar
460,Session on Generative Adversarial Networks | GANs,2021-01-31,14698,487,0,39,Jan
461,Thread Pool Executors | Threading And Multi Processing in Python Part 2,2021-01-28,1393,22,0,3,Jan
462,Threading | Threading and Multi Processing in Python Part 1,2021-01-12,5918,103,0,0,Jan
463,Bangalore House Price Prediction | Regression Project | End to End Machine Learning Projects,2021-01-03,99480,1449,0,193,Jan
464,Cross-validation in Machine Learning,2021-01-02,7675,224,0,14,Jan
465,Car Price Predictor Project | Machine Learning | Linear Regression,2021-01-02,187102,3120,0,266,Jan
466,Largest Rectangle in Histogram,2020-11-18,113,4,0,0,Nov
467,Face Mask Detection using CNN | VGG16 | Keras Project,2020-11-16,36705,642,0,33,Nov
468,Next Larger Element in an Array,2020-11-15,58,2,0,1,Nov
469,Face Mask Detector Project  Demo| Deep Learning,2020-11-15,1180,55,0,3,Nov
470,Get minimum item from a stack in O(1) time,2020-11-14,37,1,0,1,Nov
471,Reverse a LinkedList using Stack,2020-11-13,2253,20,0,3,Nov
472,Online Stock Span Problem in Java | Stacks Problem #1,2020-11-11,82,4,0,1,Nov
473,News App from Scratch | Part 1 - Course Introduction | Advance Android Tutorials,2020-10-14,222,12,0,5,Oct
474,DOM Selectors | Multiple Item Selector | Javascript Fundamentals,2020-10-08,195,4,0,0,Oct
475,DOM Selectors Part 1 | Single Element Selector | Javascript Fundamentals,2020-10-08,172,5,0,0,Oct
476,Document Object Model | DOM | Javascript Fundamentals,2020-10-08,217,4,0,0,Oct
477,The Window Object | Javascript Fundamentals,2020-10-08,258,5,0,0,Oct
478,Type Conversion | Javascript Fundamentals,2020-10-08,127,2,0,0,Oct
479,Operators | Javascript Fundamentals,2020-10-08,105,1,0,0,Oct
480,Generals Loops | Javascript Fundamentals,2020-10-08,153,3,0,0,Oct
481,Functions | Javascript,2020-10-08,162,3,0,0,Oct
482,If-else statements | Javascript Fundamentals,2020-10-08,122,2,0,0,Oct
483,Switch Statements | Javascript Fundamentals,2020-10-08,127,4,0,0,Oct
484,General Loops | Javascript,2020-10-08,161,4,0,1,Oct
485,Block and Function Level Scope | Javascript Fundamentals,2020-10-08,189,5,0,0,Oct
486,Date Objects | Javascript Fundamentals,2020-10-08,122,2,0,0,Oct
487,Object Literals | Javascript Fundamentals,2020-10-08,188,6,0,0,Oct
488,Arrays | Javascript Fundamentals,2020-10-08,182,5,0,2,Oct
489,Template Literals | Javascript,2020-10-08,176,4,0,0,Oct
490,Strings | Javascript,2020-10-08,218,4,0,0,Oct
491,The Math Object | Javascript Fundamentals,2020-10-08,198,3,0,0,Oct
492,Variables in Javascript,2020-10-08,272,4,0,0,Oct
493,Data Types in Javascript,2020-10-08,318,7,0,0,Oct
494,Console in Javascript,2020-10-08,388,9,0,0,Oct
495,Comments in Javascript,2020-10-08,352,6,0,0,Oct
496,Introduction to Javascript | Using external javascript,2020-10-08,1598,24,0,4,Oct
497,Math Based Brain Game using Vanilla Javascript in 1 hour,2020-09-10,586,14,0,0,Sep
498,Javascript based Math Brain Game Demo,2020-09-10,200,3,0,1,Sep
499,Neural Network Notation,2020-09-06,1209,40,0,4,Sep
500,Prediction in Artificial Neural Network,2020-09-06,1183,32,0,6,Sep
501,"Guest Lecture on ""Front-end Development in MNCs""",2020-09-06,149,4,0,0,Sep
502,Keras Classification Project - MNIST Digit Recognition Dataset,2020-09-06,6980,133,0,7,Sep
503,Bank Churn Classification - Keras Deep Learning,2020-09-06,1455,32,0,2,Sep
504,Graduate Admission Prediction - Keras Regression | Deep Learning | ANN,2020-09-06,3025,59,0,14,Sep
505,Session on Firebase | Building a Todo List Application,2020-08-31,368,14,0,0,Aug
506,Life as a DevOps Engineer By Shomik Bose (British Telecom),2020-08-27,1101,13,0,0,Aug
507,Build an IRCTC clone using Bootstrap and jQuery,2020-08-19,3316,108,0,11,Aug
508,Internet Protocol | Fundamentals of Web Development | Part 7,2020-08-07,1097,37,0,7,Aug
509,The problem of Outliers | Logistic Regression,2020-08-07,2136,49,0,3,Aug
510,Sigmoid Function and Squashing | Logistic Regression,2020-08-07,3664,85,0,4,Aug
511,Lists and Tables,2020-08-07,932,35,0,0,Aug
512,Style and Colors,2020-08-07,789,24,0,1,Aug
513,Div and Span | Block level and Inline elements,2020-08-07,812,30,0,2,Aug
514,Iframe tag in HTML,2020-08-07,782,23,0,0,Aug
515,Meta Tags in HTML,2020-08-07,703,28,0,2,Aug
516,HTML Forms and Attributes,2020-08-07,794,33,0,0,Aug
517,HTML Form Elements,2020-08-07,710,26,0,0,Aug
518,Types of Input Tag,2020-08-07,662,31,0,0,Aug
519,Input Tag Attributes,2020-08-07,563,24,0,5,Aug
520,CSS Box Model,2020-08-07,210,7,0,0,Aug
521,CSS Border Property,2020-08-07,330,7,0,1,Aug
522,Float and Alignment,2020-08-07,120,1,0,0,Aug
523,CSS Layouts,2020-08-07,247,3,0,1,Aug
524,CSS Overflow,2020-08-07,157,3,0,1,Aug
525,CSS Texts and Fonts,2020-08-07,70,0,0,0,Aug
526,CSS Link States and Buttons,2020-08-07,81,0,0,0,Aug
527,CSS Display Property,2020-08-07,247,3,0,0,Aug
528,CSS Positioning,2020-08-07,263,3,0,0,Aug
529,Perceptron from scratch using Python,2020-08-07,8691,165,0,15,Aug
530,Perceptron Algorithm in Sklearn,2020-08-07,1248,13,0,1,Aug
531,Perceptron Trick,2020-08-07,990,28,0,7,Aug
532,Perceptron Geometric Intuition,2020-08-07,587,15,0,1,Aug
533,Perceptron Introduction,2020-08-07,2191,37,0,2,Aug
534,CSS Media Queries,2020-08-07,239,5,0,0,Aug
535,CSS Grids,2020-08-07,203,6,0,1,Aug
536,Backpropogation Explained,2020-08-07,73,2,0,1,Aug
537,Disadvantages of Cosine Similarity,2020-08-07,467,3,0,0,Aug
538,Gradient Descent from Scratch in Python,2020-08-07,193,10,0,0,Aug
539,CSS Flexbox,2020-08-07,227,5,0,0,Aug
540,CSS Combinators and Pseudo Elements,2020-08-07,147,4,0,0,Aug
541,CSS Transformations,2020-08-07,140,3,0,0,Aug
542,CSS Transitions,2020-08-07,153,2,0,0,Aug
543,CSS Animation Part 2,2020-08-07,131,3,0,0,Aug
544,CSS Animation Part 1,2020-08-07,199,4,0,0,Aug
545,Kernel Trick in SVM | Geometric Intuition,2020-08-07,21264,535,0,15,Aug
546,Kernel Trick in SVM | Code Example,2020-08-07,16139,464,0,32,Aug
547,Styling Forms using CSS,2020-08-07,344,7,0,0,Aug
548,Styling Tables,2020-08-07,330,7,0,0,Aug
549,CSS Units,2020-08-07,354,12,0,0,Aug
550,CSS Navigation Bars and Side Navigation Bars,2020-08-07,355,3,0,2,Aug
551,Dropdowns in CSS,2020-08-07,502,9,0,1,Aug
552,Mathematics of Support Vector Machine | Soft Margin SVM,2020-08-07,27340,696,0,36,Aug
553,Support Vector Machine | Code Sample,2020-08-07,16130,293,0,16,Aug
554,Mathematical Prerequisites for Deep Learning,2020-07-19,424,18,0,1,Jul
555,How is the Internet so fast? | Fundamentals of Web Development | Part 12,2020-07-13,725,45,0,4,Jul
556,Transmission Control Protocol (TCP) | Fundamentals of Web Development | Part 11,2020-07-13,786,25,0,2,Jul
557,IPV4 Vs IPV6 | Fundamentals of Web Development | Part 8,2020-07-13,838,31,0,0,Jul
558,Domain Name Server | Fundamentals of Web Development | Part 10,2020-07-13,942,33,0,1,Jul
559,Public IP Vs Private IP | Fundamentals of Web Development  | Part 9,2020-07-13,905,28,0,5,Jul
560,How does the Internet work? | Fundamentals of Web Development | Part 6,2020-07-13,1112,36,0,1,Jul
561,Peer to Peer Networks | Fundamentals of Web Development | Part 5,2020-07-13,1261,50,0,4,Jul
562,Client Server Architecture | Fundamentals of Web Development | Part 4,2020-07-13,1815,57,0,2,Jul
563,CSS Background Image Property,2020-07-10,625,16,0,0,Jul
564,CSS Selectors,2020-07-10,85,1,0,0,Jul
565,Comments in CSS,2020-07-10,429,7,0,0,Jul
566,Implementing CSS,2020-07-10,638,16,0,0,Jul
